Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Emanual Davis,Hornets,54.27,202.68,21.96,1.57,3.2,48.94,496
Isaac Austin,Bulls,46.76,555.0,18.17,3.2,6.64,48.11,1500
William Cunningham,Bulls,0.0,1.0,1.33,0.09,0.28,33.64,10
Antoine Walker,Bulls,54.85,1693.56,24.53,10.92,20.93,52.19,2396
Danny Fortson,Bulls,43.7,621.24,19.74,3.7,8.77,42.17,1749
Dejan Tomasevic,Bulls,43.57,495.76,17.27,2.7,6.7,40.37,1720
Larry Johnson,Bulls,51.32,1086.36,19.09,7.12,13.53,52.64,2747
Billy Owens,Bulls,51.46,664.6,17.92,4.2,8.37,50.15,1881
Gerald King,Bulls,62.6,78.28,18.8,2.05,3.76,54.51,255
Eric Murdock,Bulls,51.92,922.64,21.61,5.7,11.86,48.03,2247
Thomas Hill,Bulls,49.06,180.4,19.25,1.53,3.37,45.49,452
Chauncey Billups,Bulls,49.96,1009.84,22.98,7.17,14.89,48.17,2462
Nick Van Exel,Bulls,51.33,603.88,30.04,5.24,11.75,44.63,1194
Jeff McInnis,Bulls,52.7,148.96,18.45,4.09,8.12,50.42,622
John Amaechi,Cavaliers,47.68,1383.08,27.86,8.31,17.48,47.52,2148
Hakeem Olajuwon,Cavaliers,49.1,1025.48,23.17,6.3,13.22,47.62,2182
Olden Polynice,Cavaliers,47.87,415.68,19.81,2.94,6.45,45.58,1201
Junior Burrough,Cavaliers,55.42,1309.92,22.24,8.45,16.16,52.31,2477
Vin Baker,Cavaliers,50.98,765.0,29.45,4.83,9.44,51.16,1279
Doug Edwards,Cavaliers,49.56,713.24,22.17,4.31,8.63,49.91,1563
Drazen Petrovic,Cavaliers,54.37,651.96,16.36,4.67,10.6,44.06,2342
Shawn Respert,Cavaliers,50.23,343.4,10.97,2.15,4.24,50.65,1580
Shelton Jones,Cavaliers,52.24,145.48,20.58,3.03,6.03,50.29,359
Derrick Phelps,Cavaliers,51.87,692.08,13.97,6.78,12.05,56.3,2817
Johnny Dawkins,Cavaliers,49.21,282.48,16.35,2.61,5.21,50.07,1013
Riley Montana,Cavaliers,51.02,5.88,3.12,0.51,0.69,73.63,51
Jim McIlvaine,Pistons,49.31,1229.92,22.05,7.14,14.23,50.19,2577
Duane Causwell,Pistons,48.8,604.52,22.04,4.84,9.48,51.09,1323
Acie Earl,Pistons,46.86,353.16,19.95,2.25,4.88,46.14,1090
Danny Ferry,Pistons,50.54,351.2,16.31,1.96,4.33,45.36,1124
Othella Harrington,Pistons,44.35,597.56,21.86,4.39,9.74,45.1,1306
Jamal Mashburn,Pistons,54.09,1468.0,23.68,9.01,18.96,47.53,2541
Terry Mills,Pistons,51.61,967.8,23.06,5.22,10.82,48.26,2099
Gary Trent,Pistons,37.31,18.76,24.33,1.65,4.06,40.67,29
Tim Hardaway,Pistons,52.2,1048.8,18.27,8.45,17.02,49.64,3089
Isiah Thomas,Pistons,54.9,488.16,16.12,4.01,8.01,50.03,1847
Travis Best,Pistons,51.36,95.4,13.86,0.95,1.92,49.53,360
Carson Nichols,Pistons,58.51,341.8,20.74,2.64,5.32,49.56,1149
Gheorghe Muresan,Pacers,50.09,730.72,16.89,5.01,9.86,50.85,2199
Darnell Robinson,Pacers,42.71,353.56,11.94,2.17,5.2,41.74,1933
Theo Ratliff,Pacers,49.85,54.16,13.17,0.8,1.76,45.37,190
Malik Rose,Pacers,42.02,197.52,10.68,1.16,2.72,42.55,907
Shawn Kemp,Pacers,52.09,855.2,21.29,5.68,11.73,48.4,2173
Ray Allen,Pacers,53.12,1364.76,24.01,8.44,16.62,50.79,2589
Todd Day,Pacers,56.71,688.6,23.2,5.11,9.97,51.24,1394
Clyde Drexler,Pacers,52.64,128.24,17.38,1.94,4.1,47.34,338
Dell Curry,Pacers,50.42,718.92,22.18,5.1,10.83,47.1,1790
Allen Iverson,Pacers,52.54,1426.56,24.04,9.4,19.4,48.42,2562
Magic Johnson,Pacers,53.88,1222.12,29.24,11.18,20.98,53.31,2035
DeJuan Wheat,Pacers,41.43,205.16,25.17,1.42,3.25,43.84,417
